Accession,Organism_Name,GenBank_RefSeq,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
OM451183,Civet kobuvirus,GenBank,,SRR17509919,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,3/9/22,SC-F3,Civet kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8146,partial,,,,China,China,,Paguma larvata,,2020,SAMN24587231,PRJNA793740,"MAG: Civet kobuvirus isolate SC-F3 polyprotein gene, complete cds"
OM451184,Civet kobuvirus,GenBank,,SRR17509943,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,3/9/22,GX-F3,Civet kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8157,partial,,,,China,China,,Paguma larvata,,2020,SAMN24587219,PRJNA793740,"MAG: Civet kobuvirus isolate GX-F3 polyprotein gene, complete cds"
OM451185,Marmot kobuvirus,GenBank,,SRR17497041,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,3/9/22,JS-TNA1,Marmot kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8193,partial,,,,China,China,,Marmota himalayana,,2020,SAMN24587162,PRJNA795267,"MAG: Marmot kobuvirus isolate JS-TNA1 polyprotein gene, complete cds"
OM451186,Marmot kobuvirus,GenBank,,SRR17497087,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,3/9/22,ZJ-F2,Marmot kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8086,partial,,,,China,China,,Marmota himalayana,,2020,SAMN24587169,PRJNA795267,"MAG: Marmot kobuvirus isolate ZJ-F2 polyprotein gene, complete cds"
OM451187,Grey squirrel kobuvirus,GenBank,,SRR17497077,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,3/9/22,FJ-MO1,Grey squirrel kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8182,partial,,,,China,China,,Sciurus vulgaris,,2021,SAMN24587178,PRJNA795267,"MAG: Grey squirrel kobuvirus isolate FJ-MO1 polyprotein gene, complete cds"
OM480537,Coypu kobuvirus,GenBank,,,"He,W.-T., Hou,X., Zhao,J.","Nanjing Agricultural University, College of Veterinary Medicine",China,3/1/22,,Coypu kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8301,partial,,,,China,China,,Myocastor coypus,,2020,,,"Coypu kobuvirus strain HeB-F1 polyprotein gene, complete cds"
OM480538,Coypu kobuvirus,GenBank,,,"He,W.-T., Hou,X., Zhao,J.","Nanjing Agricultural University, College of Veterinary Medicine",China,3/1/22,,Coypu kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8264,partial,,,,China,China,,Myocastor coypus,,2020,,,"Coypu kobuvirus strain HuN-F1 polyprotein gene, complete cds"
MZ679272,Kobuvirus sp.,GenBank,,SRR14039630,"Chen,Y.M., Sadiq,S., Tian,J.H., Chen,X., Lin,X.D., Shen,J.J., Chen,H., Hao,Z.Y., Wille,M., Zhou,Z.C., Wu,J., Li,F., Wang,H.W., Yang,W.D., Xu,Q.Y., Wang,W., Gao,W.H., Holmes,E.C., Zhang,Y.Z., Chen,Y.-M., Zhang,Y.-Z.","Shanghai Public Health Clinical Center, East China Institute of Pathogen Biology",China,2/23/22,302R-k141_157464,Kobuvirus sp.,Kobuvirus,Picornaviridae,ssRNA(+),7189,partial,,,1,China: Guangxi,China,,,feces,2018-08,SAMN18395464,PRJNA716119,"MAG: Kobuvirus sp. isolate 302R-k141_157464 polyprotein gene, partial cds"
OM451218,Aichivirus A,GenBank,,SRR17509978,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,2/23/22,GX-F1,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8202,partial,,,,China,China,,Rhizomys pruinosus,,2020,SAMN24587144,PRJNA795267,"MAG: Aichivirus A isolate GX-F1 polyprotein gene, complete cds"
OM451219,Aichivirus A,GenBank,,SRR17509977,"He,W.-T., Hou,X., Zhao,J., Sun,J., He,H., Si,W., Wang,J., Jiang,Z., Yan,Z., Xing,G., Lu,M., Suchard,M.A., Ji,X., Gong,W., He,B., Li,J., Lemey,P., Guo,D., Tu,C., Holmes,E.C., Shi,M., Su,S.","Nanjing Agricultural University, College of Veterinary Medicine",China,2/23/22,GX-F2,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7995,partial,,,,China,China,,Rhizomys pruinosus,,2020,SAMN24587145,PRJNA795267,"MAG: Aichivirus A isolate GX-F2 polyprotein gene, complete cds"
OM140655,Marmot kobuvirus,GenBank,,,"Yan,G.Z., He,B.","Changchun Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,2/9/22,,Marmot kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8236,complete,,,,China: Xinjiang,China,,Marmota caudata,abdominal cavity,2016,,,"Marmot kobuvirus strain MCKV/XJ3/CHN/2016, complete genome"
OM105002,Porcine kobuvirus,GenBank,,SRR17345013,"Chauhan,R.P., James,S.E., Gordon,M.L.","University of KwaZulu-Natal, School of Laboratory Medicine and Medical Sciences",South Africa,1/31/22,BSF2,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8123,partial,,,,South Africa,South Africa,,Sus scrofa domesticus,"saliva, oronasopharynx",2021-03,SAMN24451506,PRJNA792720,"MAG: Porcine kobuvirus isolate BSF2 polyprotein gene, complete cds"
MW605074,Bovine kobuvirus,GenBank,,,"Savard,C., Ariel,O., Fredrickson,R., Wang,L., Broes,A., Fredrickson,R.L.","University of Illinois, Veterinary Diagnostic Laboratory",USA,10/11/21,,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8329,complete,,,1,Canada,Canada,,Bos taurus,feces,,,,"Bovine kobuvirus strain 1043507, complete genome"
MZ603734,Bovine kobuvirus,GenBank,,,"Wu,Q., Li,J., Wang,W., Zhou,J., Wang,D., Fan,B., Zhang,X., Sun,D., Gong,G., Suolang,S., Li,B., Zhou,J.Z., Li,J.Z.","Jiangsu Academy of Agricultural Sciences, Institute of Veterinary Medicine",China,10/5/21,BKoV/CN/HB-SJZ/2021,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8376,complete,,,,China,China,,Bos taurus,,2021,,,"Bovine kobuvirus isolate BKoV/CN/HB-SJZ/2021, complete genome"
MZ334483,Porcine kobuvirus,GenBank,,,"Schuele,L., Lizarazo-Forero,E., Strutzberg-Minder,K., Schutze,S., Lobert,S., Lambrecht,C., Harlizius,J., Friedrich,A.W., Peter,S., Rossen,J.W.A., Couto,N., Friedrich,A., Rossen,J.","University Medical Center Groningen, Department for Medical Microbiology and Infection Prevention",Netherlands,8/17/21,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8191,complete,,,1,Germany,Germany,,Sus scrofa,oronasopharynx,2018,,,"Porcine kobuvirus strain FoPro-213.14/GER/2018, complete genome"
MT610361,Canine kobuvirus,GenBank,,,"Agnihotri,D., Maan,S., Batra,K., Kumar,A., Rana,Y., Mor,S.","Lala Lajpat Rai University of Veterinary and Animal Sciences, Animal Biotechnology",India,7/25/21,CKoV/IND/2016,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),7975,partial,,,,India,India,,Canis lupus familiaris,feces,2016,,,"Canine kobuvirus isolate CKoV/IND/2016 polyprotein gene, complete cds"
MW292480,Murine kobuvirus 1,GenBank,,,"Zhang,M., You,F., Wu,F., Li,Q., Chen,Q.","School of Public Health, Southern Medical University, Department of Epidemiology",China,5/3/21,MuKV/YN27/CHN,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7711,partial,,,,China,China,,Rattus norvegicus,feces,9/4/17,,,"Murine kobuvirus 1 isolate MuKV/YN27/CHN polyprotein gene, complete cds"
MW292481,Murine kobuvirus 1,GenBank,,,"Zhang,M., You,F., Wu,F., Li,Q., Chen,Q.","School of Public Health, Southern Medical University, Department of Epidemiology",China,5/3/21,MuKV/XM86/CHN,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7714,partial,,,,China,China,,Rattus losea,feces,2015-10,,,"Murine kobuvirus 1 isolate MuKV/XM86/CHN polyprotein gene, complete cds"
MW292482,Murine kobuvirus 1,GenBank,,,"Zhang,M., You,F., Wu,F., Li,Q., Chen,Q.","School of Public Health, Southern Medical University, Department of Epidemiology",China,5/3/21,MuKV/XM34/CHN,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),7714,partial,,,,China,China,,Rattus losea,feces,2015-10,,,"Murine kobuvirus 1 isolate MuKV/XM34/CHN polyprotein gene, complete cds"
MW296158,Ovine kobuvirus,GenBank,,,"Abi,K.","State Key Laboratory of Veterinary Etiological Biology, Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,3/15/21,SKoV-China/SWUN/AB18/2019,Ovine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8485,complete,,,,China,China,,Ovis aries,,1/1/19,,,"Ovine kobuvirus isolate SKoV-China/SWUN/AB18/2019, complete genome"
MT125682,Porcine kobuvirus,GenBank,,,"Zhu,X., Chen,J., Feng,L.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",,1/27/21,swine/JX-1/2013/China,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8150,complete,,,,China,China,,Sus scrofa,feces,12/15/13,,,"Porcine kobuvirus isolate swine/JX-1/2013/China, complete genome"
MT125683,Porcine kobuvirus,GenBank,,,"Zhu,X., Chen,J., Feng,L.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",,1/27/21,swine/JX-2/2013/China,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8147,complete,,,,China,China,,Sus scrofa,feces,12/15/13,,,"Porcine kobuvirus isolate swine/JX-2/2013/China, complete genome"
MT125684,Porcine kobuvirus,GenBank,,,"Zhu,X., Chen,J., Feng,L.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",,1/27/21,swine/JX-3/2013/China,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8240,complete,,,,China,China,,Sus scrofa,feces,12/15/13,,,"Porcine kobuvirus isolate swine/JX-3/2013/China, complete genome"
MT125685,Porcine kobuvirus,GenBank,,,"Zhu,X., Chen,J., Feng,L.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences",,1/27/21,swine/HBYT/2018/China,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8233,complete,,,,China,China,,Sus scrofa,feces,11/9/18,,,"Porcine kobuvirus isolate swine/HBYT/2018/China, complete genome"
MT584793,Caprine kobuvirus,GenBank,,,"Abi,K.","State Key Laboratory of Veterinary Etiological Biology, Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences",China,11/7/20,CKoV-China/SWUN/F11/2019,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8105,complete,,,,China,China,,Capra hircus,,1/1/19,,,"Caprine kobuvirus isolate CKoV-China/SWUN/F11/2019, complete genome"
MN648600,Rat kobuvirus MM33,GenBank,,,"You,F.F., Zhang,M.Y., He,H., He,W.Q., Li,Y.Z., Chen,Q., You,F., Zhang,M., He,W., Li,Y., Gao,Y.","Southern Medical University, Department of Epidemiology, School of Public Health",China,8/23/20,,Rat kobuvirus MM33,Kobuvirus,Picornaviridae,ssRNA(+),7736,partial,,,1,China,China,,Rattus norvegicus,,2017-02,,,"Rat kobuvirus MM33, partial genome"
MN648601,Rat kobuvirus GZ85,GenBank,,,"You,F.F., Zhang,M.Y., He,H., He,W.Q., Li,Y.Z., Chen,Q., You,F., Zhang,M., He,W., Li,Y., Gao,Y.","Southern Medical University, Department of Epidemiology, School of Public Health",China,8/23/20,,Rat kobuvirus GZ85,Kobuvirus,Picornaviridae,ssRNA(+),7750,partial,,,1,China,China,,Rattus norvegicus,feces,2017-02,,,"Rat kobuvirus GZ85, partial genome"
MN604700,Caprine kobuvirus,GenBank,set:MN604700,,"Sobhy,N.M., Armien,A., Wunschmann,A., Goyal,S.M., Mor,S.K.","College of Veterinary Medicine, University of Minnesota, Veterinary Diagnostic Laboratory and Department of Veterinary Population Medicine",USA,6/9/20,MN1/2018,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8139,complete,,,,USA,USA,,,feces,2017-12,,,"Caprine kobuvirus isolate MN1/2018, complete genome"
MT211964,Porcine kobuvirus,GenBank,set:MT211964,,"Garcia-Hernandez,M.E., Sarmiento-Silva,R.E., Trujillo-Ortega,M.E., Taboada-Ramirez,B.I., Sandoval-Jaime,C., Lozano-Aguirre-Beltran,L.F.","Universidad Nacional Autonoma de Mexico, Facultad de Medicina Veterinaria y Zootecnia, Microbiologia e Inmunologia",Mexico,5/24/20,EdoMex/2018/205,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8116,complete,,,,Mexico,Mexico,,Sus scrofa,"feces, abdominal cavity",1/17/18,,,"Porcine kobuvirus isolate EdoMex/2018/205, complete genome"
MK372821,Aichi virus 1,GenBank,set:MK372821,,"Sadiq,A., Bostan,N.","COMSATS Institute of Information Technnology, Microbiology",Pakistan,5/6/20,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8250,partial,,,,Pakistan,Pakistan,,Homo sapiens,feces,2/2/15,,,"Aichi virus 1 strain PAK56 polyprotein gene, complete cds"
MK372822,Aichi virus 1,GenBank,set:MK372822,,"Sadiq,A., Bostan,N.","COMSATS Institute of Information Technnology, Microbiology",Pakistan,5/6/20,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8250,partial,,,,Pakistan,Pakistan,,Homo sapiens,feces,7/1/16,,,"Aichi virus 1 strain PAK419 polyprotein gene, complete cds"
MK372823,Aichi virus 1,GenBank,set:MK372823,,"Sadiq,A., Bostan,N.","COMSATS Institute of Information Technnology, Microbiology",Pakistan,5/6/20,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8250,partial,,,,Pakistan,Pakistan,,Homo sapiens,feces,2/9/16,,,"Aichi virus 1 strain PAK585 polyprotein gene, complete cds"
MK372824,Aichi virus 1,GenBank,set:MK372824,,"Sadiq,A., Bostan,N.","COMSATS Institute of Information Technnology, Microbiology",Pakistan,5/6/20,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8250,partial,,,,Pakistan,Pakistan,,Homo sapiens,feces,10/21/16,,,"Aichi virus 1 strain PAK622 polyprotein gene, complete cds"
MK372825,Aichi virus 1,GenBank,set:MK372825,,"Sadiq,A., Bostan,N.","COMSATS Institute of Information Technnology, Microbiology",Pakistan,5/6/20,,Aichivirus A,Kobuvirus,Picornaviridae,ssRNA(+),8250,partial,,,,Pakistan,Pakistan,,Homo sapiens,feces,10/30/16,,,"Aichi virus 1 strain PAK663 polyprotein gene, complete cds"
MT152346,Grey squirrel kobuvirus,GenBank,set:MT152346,,"Dastjerdi,A., Benfield,C., Everest,D., Stidworthy,M.F., Zell,R.","Animal & Plant Health Agency (APHA)-Weybridge, Virology department",United Kingdom,5/3/20,UK 2010,Grey squirrel kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8182,partial,,,,United Kingdom,United Kingdom,,Sciurus carolinensis,feces,2010,,,"Grey squirrel kobuvirus isolate UK 2010 polyprotein gene, complete cds"
MN807751,Porcine kobuvirus,GenBank,set:MN807751,,"Boros,A., Laszlo,Z., Pankovics,P., Marosi,A., Albert,M., Csagola,A., Biro,H., Fahsbender,E., Delwart,E., Reuter,G.","Medical School, University of Pecs, Medical Microbiology and Immunology",Hungary,3/18/20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7951,complete,,,1,Hungary,Hungary,,Sus scrofa domesticus,feces,2013-01,,,"Porcine kobuvirus strain SZ1M-F/PKV/HUN/2013, complete genome"
MN337880,Canine kobuvirus,GenBank,set:MN337880,,"van Dyck,L., Pfankuche,V.M., Jo,W.K., Kaiser,F.K., Wohlsein,P., Peters,M., Baumann,I., Jung,K., Osterhaus,A., Baumgartner,W., Ludlow,M.","University of Veterinary Medicine Hannover Foundation, Research Center for Emerging Infections and Zoonoses (RIZ)",Germany,3/4/20,,Canine kobuvirus,Kobuvirus,Picornaviridae,ssRNA(+),8312,complete,,,,Germany,Germany,,Vulpes vulpes,,4/13/16,,,"Canine kobuvirus strain S272/16, complete genome"
MN336260,Bovine kobuvirus,GenBank,set:MN336260,,"Wang,L., Fredrickson,R., Duncan,M., Samuelson,J., Hsiao,S.-H.","University of Illinois, Veterinary Diagnostic Laboratory",USA,12/31/19,,Aichivirus B,Kobuvirus,Picornaviridae,ssRNA(+),8337,complete,,,,USA: Illinois,USA,IL,Bos taurus,feces,2019,,,"Bovine kobuvirus strain IL35164, complete genome"
MK962320,Porcine kobuvirus,GenBank,set:MK962320,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,5/22/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/C247/2017, complete genome"
MK962321,Porcine kobuvirus,GenBank,set:MK962321,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,7/4/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P393/2017, complete genome"
MK962322,Porcine kobuvirus,GenBank,set:MK962322,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,3/16/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/VC20B/2017, complete genome"
MK962323,Porcine kobuvirus,GenBank,set:MK962323,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,3/7/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P37/2017, complete genome"
MK962324,Porcine kobuvirus,GenBank,set:MK962324,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,9/18/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P437/2017, complete genome"
MK962325,Porcine kobuvirus,GenBank,set:MK962325,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,2/27/18,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/VT25C/2017, complete genome"
MK962326,Porcine kobuvirus,GenBank,set:MK962326,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,7/10/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/C429/2017, complete genome"
MK962327,Porcine kobuvirus,GenBank,set:MK962327,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,5/24/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P259/2017, complete genome"
MK962328,Porcine kobuvirus,GenBank,set:MK962328,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,6/1/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/B304/2017, complete genome"
MK962329,Porcine kobuvirus,GenBank,set:MK962329,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,11/1/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P2B/2017, complete genome"
MK962330,Porcine kobuvirus,GenBank,set:MK962330,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,9/22/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P452/2017, complete genome"
MK962331,Porcine kobuvirus,GenBank,set:MK962331,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,5/30/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P284/2017, complete genome"
MK962332,Porcine kobuvirus,GenBank,set:MK962332,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,7/4/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/C375/2017, complete genome"
MK962333,Porcine kobuvirus,GenBank,set:MK962333,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,11/2/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/P461/2017, complete genome"
MK962334,Porcine kobuvirus,GenBank,set:MK962334,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,2/14/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/VC14/2017, complete genome"
MK962335,Porcine kobuvirus,GenBank,set:MK962335,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,1/25/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/VC8/2017, complete genome"
MK962336,Porcine kobuvirus,GenBank,set:MK962336,,"Martin,M., Darwich,L., Puente,H., Gomez de Nova,P.J., Carvajal,A., Franzo,G., Cortey,M., Diaz,I., Vidal,A., Martin Valls,G.E., Mateu,E.","Universitat Autonoma de Barcelona, Sanitat i Anatomia Animals, Facultat de Veterinaria",,11/17/19,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,complete,,,,Spain,Spain,,Sus scrofa,feces,1/25/17,,,"Porcine kobuvirus strain KobuV/Pig-wt/ESP/VC11/2017, complete genome"
