Accession,Organism_Name,Assembly,SRA_Accession,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Length,GenBank_RefSeq,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject,GenBank_Title
MF062442,Porcine kobuvirus,set:MF062442,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G15/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7377,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-01,,,"Porcine kobuvirus isolate Guangxi/G15/2013/CH polyprotein gene, complete cds"
MF062443,Porcine kobuvirus,set:MF062443,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G14/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-01,,,"Porcine kobuvirus isolate Guangxi/G14/2013/CH polyprotein gene, complete cds"
MF062444,Porcine kobuvirus,set:MF062444,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G13/2013/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2013-01,,,"Porcine kobuvirus isolate Guangxi/G13/2013/CH polyprotein gene, complete cds"
MF062445,Porcine kobuvirus,set:MF062445,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G12/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-12,,,"Porcine kobuvirus isolate Guangxi/G12/2012/CH polyprotein gene, complete cds"
MF062446,Porcine kobuvirus,set:MF062446,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G11/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7377,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-12,,,"Porcine kobuvirus isolate Guangxi/G11/2012/CH polyprotein gene, complete cds"
MF062447,Porcine kobuvirus,set:MF062447,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G9/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-10,,,"Porcine kobuvirus isolate Guangxi/G9/2012/CH polyprotein gene, complete cds"
MF062448,Porcine kobuvirus,set:MF062448,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G8/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7377,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-07,,,"Porcine kobuvirus isolate Guangxi/G8/2012/CH polyprotein gene, complete cds"
MF062449,Porcine kobuvirus,set:MF062449,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G7/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-07,,,"Porcine kobuvirus isolate Guangxi/G7/2012/CH polyprotein gene, complete cds"
MF062450,Porcine kobuvirus,set:MF062450,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G6/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-06,,,"Porcine kobuvirus isolate Guangxi/G6/2012/CH polyprotein gene, complete cds"
MF062451,Porcine kobuvirus,set:MF062451,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G5/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-06,,,"Porcine kobuvirus isolate Guangxi/G5/2012/CH polyprotein gene, complete cds"
MF062452,Porcine kobuvirus,set:MF062452,,"Yan,J., Liang,D., Sun,X., Li,C., He,Q., Feng,S., Liu,Q., Xiong,Y.","Center of Animal Epidemic Prention and Control, Division of Livestock",China,2017-05-24,Guangxi/G2/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7467,GenBank,partial,,,,China: Guangxi,China,,Sus scrofa,abdominal cavity,2012-03,,,"Porcine kobuvirus isolate Guangxi/G2/2012/CH polyprotein gene, complete cds"
LC210599,Porcine kobuvirus,set:LC210599,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8110,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2014-01-08,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu1-8/JPN/2014"
LC210600,Porcine kobuvirus,set:LC210600,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8100,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2014-01-08,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu2-2/JPN/2014"
LC210601,Porcine kobuvirus,set:LC210601,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8085,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2014-01-08,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu2-3/JPN/2014"
LC210602,Porcine kobuvirus,set:LC210602,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8109,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2014-01-08,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu2-5/JPN/2014"
LC210603,Porcine kobuvirus,set:LC210603,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8072,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2014-01-08,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu2-6/JPN/2014"
LC210604,Porcine kobuvirus,set:LC210604,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8112,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2014-01-09,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu3-5/JPN/2014"
LC210605,Porcine kobuvirus,set:LC210605,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8110,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2014-01-10,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu4-2/JPN/2014"
LC210606,Porcine kobuvirus,set:LC210606,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8107,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2014-01-10,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu4-4/JPN/2014"
LC210607,Porcine kobuvirus,set:LC210607,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8105,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2014-01-10,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu4-6/JPN/2014"
LC210608,Porcine kobuvirus,set:LC210608,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8201,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2014-01-14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu5-6/JPN/2014"
LC210609,Porcine kobuvirus,set:LC210609,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8183,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2014-01-23,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu6-6/JPN/2014"
LC210610,Porcine kobuvirus,set:LC210610,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8208,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2014-01-29,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu7-9/JPN/2014"
LC210611,Porcine kobuvirus,set:LC210611,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8104,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2014-02-06,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Bu9-10/JPN/2014"
LC210612,Porcine kobuvirus,set:LC210612,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8108,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2015-12-06,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Iba27-372/JPN/2015"
LC210613,Porcine kobuvirus,set:LC210613,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8076,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2016-01-20,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Iba444-2/JPN/2016"
LC210614,Porcine kobuvirus,set:LC210614,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8111,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2015-11-06,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Ishi-Im5/JPN/2015"
LC210615,Porcine kobuvirus,set:LC210615,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8119,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2015-11-06,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Ishi-Im6/JPN/2015"
LC210616,Porcine kobuvirus,set:LC210616,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8192,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2015-11-05,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Ishi-Ka3/JPN/2015"
LC210617,Porcine kobuvirus,set:LC210617,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8105,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2015-11-04,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Ishi-Sa5/JPN/2015"
LC210618,Porcine kobuvirus,set:LC210618,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8106,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2015-11-09,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Ishi-Ta3/JPN/2015"
LC210619,Porcine kobuvirus,set:LC210619,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8115,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2015-11-09,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Ishi-Ta4/JPN/2015"
LC210620,Porcine kobuvirus,set:LC210620,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8122,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2015-11-27,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Tochigi-IN30/JPN/2015"
LC210621,Porcine kobuvirus,set:LC210621,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8114,GenBank,complete,,,1,Japan,Japan,,Sus scrofa,,2014-04-13,,,"Porcine kobuvirus genomic RNA, complete genome, strain: PoKoV/Tochigi-IO3/JPN/2014"
LC210622,Porcine kobuvirus,set:LC210622,,"Akagami,M., Ito,M., Niira,K., Kuroda,M., Masuda,T., Haga,K., Tsuchiaka,S., Naoi,Y., Kishimoto,M., Sano,K., Omatsu,T., Aoki,H., Katayama,Y., Oba,M., Oka,T., Ichimaru,T., Yamasato,H., Ouchi,Y., Shirai,J., Katayama,K., Mizutani,T., Nagai,M.","Department of Bioproduction Science; 1-308 Suematsu, Nonoichi, Ishikawa 921-8836",Japan,2017-05-20,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),7965,GenBank,partial,,,1,Japan,Japan,,Sus scrofa,,2014-12-14,,,"Porcine kobuvirus gene for polyprotein, complete cds, strain: PoKoV/Buta16/JPN/2014"
KC414936,Porcine kobuvirus,set:KC414936,,"Fan,S., Sun,H., Ying,Y., Gao,X., Wang,Z., Yu,Y., Li,Y., Wang,T., Yu,Z., Yang,S., Zhao,Y., Qin,C., Gao,Y., Xia,X., Gao,Y.W., Fan,S.T., Sun,H.T., Gao,X.L., Li,Y.G., Wang,T.C., Yu,Z.J., Xia,X.Z.","Academy of Military Medical Sciences, Department of Virology Research, Institute",China,2017-05-02,K-11/2012/CH,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8210,GenBank,complete,,,1,China,China,,Sus scrofa,feces,2012-08,,,"Porcine kobuvirus isolate K-11/2012/CH, complete genome"
KY234499,Porcine kobuvirus,set:KY234499,,"Zhai,S.L., Zhang,H., Lin,T., Chen,S.N., Zhou,X., Chen,Q.L., Lv,D.H., Wen,X.H., Zhou,X.R., Jia,C.L., Wei,W.K., Zhai,S.-L.","Animal Disease Diagnostic Center, Institute of Animal Health, Guangdong Academy of Agricultural Sciences",China,2017-04-26,JXAT2015,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8123,GenBank,complete,,,1,China: Jiangxi,China,,Sus scrofa,feces,2015,,,"Porcine kobuvirus isolate JXAT2015, complete genome"
KY234500,Porcine kobuvirus,set:KY234500,,"Zhai,S.L., Zhang,H., Lin,T., Chen,S.N., Zhou,X., Chen,Q.L., Lv,D.H., Wen,X.H., Zhou,X.R., Jia,C.L., Wei,W.K., Zhai,S.-L.","Animal Disease Diagnostic Center, Institute of Animal Health, Guangdong Academy of Agricultural Sciences",China,2017-04-26,JXJC2015,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8120,GenBank,complete,,,1,China: Jiangxi,China,,Sus scrofa,feces,2015,,,"Porcine kobuvirus isolate JXJC2015, complete genome"
KM051987,Porcine kobuvirus,set:KM051987,,"Peng,Q., Song,D., Huang,D., Chen,Y., Huang,T., Zhang,T., Tang,Y.","Jiangxi Agricultural University, Department of Preventive Veterinary Medicine, College of Animal Science and Technology",,2015-06-01,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8145,GenBank,complete,,,,China,China,,Sus scrofa,,2014-03,,,"Porcine kobuvirus strain CH/KB-1/2014, complete genome"
KP260507,Porcine kobuvirus,set:KP260507,,"Jin,W., Yang,Z., Zhao,Z., Qin,A., Yang,H.","Yangzhou University, College of Veterinary Medicine",China,2015-05-04,JS-02a-CHN/2014/China,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8121,GenBank,complete,,,,China,China,,Sus scrofa,feces,2014,,,"Porcine kobuvirus isolate JS-02a-CHN/2014/China, complete genome"
KP144318,Porcine kobuvirus JS-01-CHN/2013/China,set:KP144318,,"Jin,W., Yang,Z., Zhao,Z., Qin,A., Yang,H.","Yangzhou University, College of Veterinary Medicine",China,2015-03-17,,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8214,GenBank,complete,,,,China,China,,Sus scrofa domesticus,feces,2013,,,"Porcine kobuvirus JS-01-CHN/2013/China, complete genome"
KM977675,Porcine kobuvirus,set:KM977675,,"Liu,X., Oka,T., Wang,Q.","The Ohio State University, Food Animal Health Research Program, Department of Veterinary Preventive Medicine",USA,2015-02-25,OH/RV50/2011,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8152,GenBank,complete,,,1,USA,USA,,Sus scrofa,feces,2011-06,,,"Porcine kobuvirus isolate OH/RV50/2011, complete genome"
KJ452348,Porcine kobuvirus,set:KJ452348,,"Shi,D., Zhang,S., Chen,J.-F., Shi,H.-Y., Li,C.-L., Zhang,X., Feng,L.","Harbin Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Division of Swine Infectious Diseases of State Key Laboratory of Veterinary Biotechnology",China,2014-05-01,CH/DX/2012,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8124,GenBank,complete,,,,China,China,,Sus scrofa,feces,2012,,,"Porcine kobuvirus isolate CH/DX/2012, complete genome"
KF793927,aichivirus C2,set:KF793927,,"Oem,J.K., Lee,M.H., Lee,K.K., An,D.J., Oem,J.-K., Kim,S.-H., Kim,Y.-H., Lee,M.-H., Lee,K.-K.","Animal and Plant Quarantine Agency, Animal Disease Diagnostic Division",South Korea,2014-01-29,12Q108,Aichivirus C,Kobuvirus,Picornaviridae,ssRNA(+),8305,GenBank,complete,,,1,South Korea,South Korea,,Capra hircus,feces,2012,,,"Aichivirus C2 isolate 12Q108, complete genome"
